Column1,publisheddate,news,Stock Name,symbol,Date,yusuf_bert,furkanU_bert,Sena_bert,furkanB,m_esit,before,now,after,majority_voted_sentiment
34,7.07.2023 16:47,ya author shoot amazon bestseller list viral tiktok video,Amazon,AMZN,7.07.2023,Positive,Positive,Neutral,Positive,Neutral,130.3600006,130.2200012,130.3800049,Positive
35,11.07.2023 18:53,robot amazon uk worker striking prime day,Amazon,AMZN,11.07.2023,Negative,Negative,Neutral,Negative,Neutral,130.3800049,128.3600006,129.7799988,Negative
36,17.03.2023 12:15,indigenous child suffer illegal miner amazon invasion,Amazon,AMZN,17.03.2023,Negative,Negative,Neutral,Negative,Negative,90.73000336,92.43000031,94.87999725,Negative
37,18.06.2023 19:27,social medium site failing curb cottage industry fake review amazon say,Amazon,AMZN,18.06.2023,Negative,Negative,Negative,Negative,Neutral,126.5699997,126.6600037,126.4199982,Negative
38,7.07.2023 09:51,afternoon update robodebt report recommends prosecution another sydney shooting amazon deforestation drop,Amazon,AMZN,7.07.2023,Negative,Positive,Neutral,Negative,Neutral,130.3600006,130.2200012,130.3800049,Negative
39,26.04.2023 08:15,amazon worker coventry request union recognition membership double,Amazon,AMZN,26.04.2023,Positive,Positive,Neutral,Positive,Neutral,104.3000031,103.8099976,106.9599991,Positive
40,11.06.2023 18:22,going away amazon uk strike trio bullish gmb congress,Amazon,AMZN,11.06.2023,Positive,Negative,Neutral,Negative,Positive,125.3000031,126.6100006,121.2300034,Negative
41,28.04.2023 01:16,amazon beat expectation first quarter earnings share jump,Amazon,AMZN,27.04.2023,Positive,Positive,Positive,Negative,Positive,103.8099976,106.9599991,106.2099991,Positive
42,16.05.2023 12:00,noise pollution danger amazon warehouse upended sleepy new york neighborhood,Amazon,AMZN,16.05.2023,Negative,Positive,Neutral,Negative,Negative,106.6200027,110.1900024,112.1800003,Negative
43,2.06.2023 15:00,amazon tree felled six year meet beef demand,Amazon,AMZN,2.06.2023,Negative,Negative,Neutral,Negative,Negative,120.1100006,121.6600037,120.5800018,Negative
44,6.08.2023 14:00,look crisis amazon understand stake battling life mark ruffalo,Amazon,AMZN,6.08.2023,Negative,Negative,Neutral,Negative,Neutral,133.6799927,131.6900024,128.2100067,Negative
45,16.04.2023 16:57,amazon worker coventry begin first two three day strike,Amazon,AMZN,16.04.2023,Negative,Negative,Neutral,Negative,Neutral,102.1699982,99.91999817,97.83000183,Negative
46,26.05.2023 18:00,invoked shakespeare kates mclennan mccartney explaining australian swearing amazon,Amazon,AMZN,26.05.2023,Negative,Negative,Neutral,Positive,Neutral,116.25,115.0100021,114.9899979,Negative
47,12.04.2023 11:44,hyundai urged stop illegal miner using machine amazon,Amazon,AMZN,12.04.2023,Positive,Positive,Negative,Positive,Neutral,101.0999985,102.0599976,102.1699982,Positive
48,4.04.2023 09:00,alexa im dark amazon account disappeared,Amazon,AMZN,4.04.2023,Negative,Negative,Neutral,Negative,Neutral,97.23999786,100.25,102,Negative
49,3.04.2023 18:00,amazon web service invest bn expanding australian cloud computing,Amazon,AMZN,3.04.2023,Positive,Positive,Neutral,Positive,Positive,98.04000092,97.23999786,100.25,Positive
50,10.03.2023 19:32,record deforestation brazil amazon rainforest show challenge facing lula,Amazon,AMZN,10.03.2023,Positive,Positive,Positive,Negative,Negative,94.90000153,93.75,93.55000305,Positive
51,1.06.2023 15:00,brazilian amazon risk taken mafia ex police chief warns,Amazon,AMZN,1.06.2023,Negative,Negative,Neutral,Negative,Negative,115,120.1100006,121.6600037,Negative
52,17.06.2023 23:00,western arrogance wellness movement co opted amazon frog toxin deadly effect,Amazon,AMZN,17.06.2023,Positive,Negative,Neutral,Negative,Neutral,126.5699997,126.6600037,126.4199982,Negative
53,23.03.2023 19:05,u amazon driver delivers package police standoff viral video show,Amazon,AMZN,23.03.2023,Negative,Negative,Neutral,Negative,Neutral,100.0400009,98.94999695,97.70999908,Negative
54,3.02.2023 01:50,apple post first revenue drop four year,Apple,AAPL,2.02.2023,Negative,Negative,Negative,Negative,Negative,143.9600067,145.9299927,143,Negative
55,20.03.2023 21:27,amazon cut another job new round layoff,Amazon,AMZN,20.03.2023,Negative,Negative,Negative,Negative,Negative,92.43000031,94.87999725,96.19999695,Negative
56,29.04.2023 09:00,many bridge amazon river try kid quiz,Amazon,AMZN,29.04.2023,Positive,Negative,Neutral,Positive,Neutral,106.2099991,102.5699997,104.9800034,Neutral
57,1.01.2023 03:01,whats netflix amazon month january,Amazon,AMZN,1.01.2023,Negative,Positive,Neutral,Negative,Neutral,83.04000092,81.81999969,84.18000031,Negative
58,22.01.2023 20:14,jair bolsonaro accused act genocide amazonian group,Amazon,AMZN,22.01.2023,Negative,Negative,Neutral,Negative,Neutral,96.05000305,95.45999908,93.68000031,Negative
59,5.04.2023 10:40,amazon microsoft face referral uk regulator cloud service market,Amazon,AMZN,5.04.2023,Negative,Positive,Neutral,Negative,Neutral,100.25,102,103.2900009,Negative
60,15.02.2023 00:47,amazon deploys fleet self driving robotaxis california street,Amazon,AMZN,14.02.2023,Positive,Positive,Neutral,Positive,Neutral,102.1100006,100.0500031,98.23999786,Positive
61,4.06.2023 15:00,forest know amazon village message world photo essay,Amazon,AMZN,4.06.2023,Positive,Positive,Neutral,Positive,Neutral,121.6600037,120.5800018,122.7699966,Positive
62,16.06.2023 13:00,force life indigenous wisdom helped rescue child lost amazon,Amazon,AMZN,16.06.2023,Positive,Positive,Neutral,Positive,Positive,123.4300003,126.5699997,126.6600037,Positive
63,8.04.2023 11:00,war attrition union victory u worker amazon stalled,Amazon,AMZN,8.04.2023,Negative,Negative,Positive,Negative,Negative,102.4100037,103.9499969,101.0999985,Negative
64,19.02.2023 13:30,cattle coca drive deforestation amazon colombia report,Amazon,AMZN,19.02.2023,Negative,Negative,Neutral,Negative,Neutral,99.54000092,99.69999695,101.1600037,Negative
65,20.05.2023 15:00,thousand amazon staffer pouring seattle office restore downtown fortune,Amazon,AMZN,20.05.2023,Positive,Positive,Neutral,Negative,Neutral,111.1999969,113.4000015,115.5,Neutral
66,7.05.2023 11:02,amazon tesco join coalition compassion know welfare state failing gordon brown,Amazon,AMZN,7.05.2023,Negative,Positive,Neutral,Negative,Neutral,102.0500031,103.6299973,103.6500015,Negative
67,28.03.2023 02:45,amazon warehouse parking lot play queer ageing capitalism win prize,Amazon,AMZN,27.03.2023,Positive,Positive,Neutral,Negative,Neutral,97.70999908,100.6100006,98.69999695,Neutral
68,13.02.2023 18:41,amazon worker coventry go strike seven day,Amazon,AMZN,13.02.2023,Negative,Negative,Negative,Negative,Neutral,102.1800003,102.1100006,100.0500031,Negative
69,22.03.2023 16:48,amazon uk staff plan strike reject pay rise insult,Amazon,AMZN,22.03.2023,Negative,Negative,Negative,Negative,Neutral,96.19999695,100.0400009,98.94999695,Negative
70,27.02.2023 08:00,dom phillips widow follow raising awareness crisis amazon,Amazon,AMZN,27.02.2023,Negative,Positive,Neutral,Positive,Negative,94.58000183,95.79000092,95.81999969,Negative
71,19.03.2023 17:00,fake eyelash remover used party drug delisted amazon sydney worldpride ban,Amazon,AMZN,19.03.2023,Negative,Negative,Neutral,Negative,Neutral,92.43000031,94.87999725,96.19999695,Negative
72,10.01.2023 21:53,amazon shut three uk warehouse putting job risk,Amazon,AMZN,10.01.2023,Negative,Negative,Neutral,Negative,Negative,85.81999969,85.13999939,83.12000275,Negative
73,26.02.2023 12:00,amazon union leader fly help uk striker kick door,Amazon,AMZN,26.02.2023,Positive,Positive,Neutral,Positive,Neutral,94.58000183,95.79000092,95.81999969,Positive
74,9.01.2023 11:00,lack respect outcry amazon employee death warehouse floor,Amazon,AMZN,9.01.2023,Negative,Negative,Neutral,Negative,Negative,85.81999969,85.13999939,83.12000275,Negative
75,5.06.2023 08:00,jump child death reveals impact industrialisation amazon indigenous people,Amazon,AMZN,5.06.2023,Negative,Negative,Negative,Negative,Neutral,121.6600037,120.5800018,122.7699966,Negative
76,27.01.2023 16:13,brazil asleep rain come hope reawakens amazon,Amazon,AMZN,27.01.2023,Negative,Positive,Neutral,Positive,Neutral,97.25,97.51999664,96.31999969,Neutral
77,26.01.2023 22:24,human activity drought degrading third amazon rainforest,Amazon,AMZN,26.01.2023,Negative,Positive,Positive,Negative,Negative,93.68000031,97.25,97.51999664,Negative
78,25.01.2023 20:54,first uk industrial action amazon making impact say gmb,Amazon,AMZN,25.01.2023,Positive,Positive,Neutral,Positive,Neutral,95.45999908,93.68000031,97.25,Positive
79,6.04.2023 17:32,cma investigate amazon bn takeover roomba firm,Amazon,AMZN,6.04.2023,Positive,Negative,Neutral,Negative,Neutral,102,103.2900009,102.4100037,Negative
80,19.03.2023 23:16,morning mail amazon act party drug loophole credit suisse takeover deal perrottet talk poky,Amazon,AMZN,19.03.2023,Negative,Negative,Neutral,Negative,Neutral,92.43000031,94.87999725,96.19999695,Negative
81,5.01.2023 16:07,amazon axe worker u tech firm cut job,Amazon,AMZN,5.01.2023,Negative,Negative,Neutral,Negative,Negative,84.18000031,84,85.81999969,Negative
82,25.01.2023 18:26,amazon play impact first strike uk worker happened,Amazon,AMZN,25.01.2023,Negative,Negative,Negative,Negative,Negative,95.45999908,93.68000031,97.25,Negative
83,21.07.2023 22:43,top tech firm commit ai safeguard amid fear pace change,Apple,AAPL,21.07.2023,Negative,Positive,Neutral,Negative,Positive,190.6900024,193.9900055,193.7299957,Negative
84,22.01.2023 03:05,first industrial action amazon uk hope strike firm union hostility,Amazon,AMZN,22.01.2023,Negative,Negative,Neutral,Negative,Neutral,96.05000305,95.45999908,93.68000031,Negative
85,1.06.2023 02:01,amazon main uk division pay corporation tax second year row,Amazon,AMZN,31.05.2023,Negative,Positive,Neutral,Negative,Neutral,116.75,115,120.1100006,Negative
86,29.07.2023 13:00,like robot thing make u human ground inside story strike amazon,Amazon,AMZN,29.07.2023,Positive,Negative,Neutral,Negative,Neutral,128.8000031,129.1300049,128.1499939,Negative
87,21.01.2023 10:00,carbon pirate preying amazon indigenous community,Amazon,AMZN,21.01.2023,Negative,Negative,Neutral,Negative,Neutral,96.05000305,95.45999908,93.68000031,Negative
88,9.03.2023 10:16,amazon daisy jones six missing star quality,Amazon,AMZN,9.03.2023,Negative,Negative,Neutral,Negative,Neutral,92.12999725,94.90000153,93.75,Negative
89,3.01.2023 17:00,lula save amazon record show might pull andre pagliarini,Amazon,AMZN,3.01.2023,Negative,Negative,Negative,Negative,Neutral,83.04000092,81.81999969,84.18000031,Negative
90,1.06.2023 15:00,bruno pereira dom phllips killed amazon indigenous ally risk death carry work,Amazon,AMZN,1.06.2023,Negative,Negative,Negative,Negative,Neutral,115,120.1100006,121.6600037,Negative
91,9.01.2023 20:46,prince harrys memoir hit amazon predicted one year bestseller,Amazon,AMZN,9.01.2023,Positive,Positive,Neutral,Positive,Positive,85.81999969,85.13999939,83.12000275,Positive
92,2.07.2023 09:00,big picture celebration life peruvian rainforest,Amazon,AMZN,2.07.2023,Positive,Positive,Neutral,Positive,Neutral,127.3300018,129.1799927,129.0399933,Positive
93,6.06.2023 00:30,tribute paid dom phillips bruno pereira year death,Tesla,TSLA,5.06.2023,Negative,Positive,Neutral,Negative,Neutral,201.1600037,203.9299927,207.5200043,Negative
94,4.06.2023 12:30,event brazil uk celebrate life dom phillips bruno pereira,Microsoft,MSFT,4.06.2023,Positive,Positive,Neutral,Positive,Neutral,331.2099915,328.3900146,332.5799866,Positive
95,20.05.2023 00:19,ex chief brazil indigenous agency charged murder bruno pereira dom phillips,Microsoft,MSFT,19.05.2023,Negative,Negative,Negative,Negative,Neutral,308.9700012,309.4599915,311.7399902,Negative
96,2.06.2023 08:56,friday briefing year murder vital work bruno pereira dom phillips carry,Microsoft,MSFT,2.06.2023,Negative,Positive,Neutral,Negative,Neutral,332.8900146,331.2099915,328.3900146,Negative
97,5.06.2023 20:32,guardian view bruno doms legacy defend nature defender editorial,Microsoft,MSFT,5.06.2023,Positive,Positive,Neutral,Positive,Neutral,331.2099915,328.3900146,332.5799866,Positive
98,1.06.2023 15:00,one year death bruno pereira dom phillips work must go,Microsoft,MSFT,1.06.2023,Negative,Negative,Neutral,Negative,Neutral,325.9200134,332.8900146,331.2099915,Negative
99,4.08.2023 00:39,apple revenue fall third straight quarter company invests heavily ai,Apple,AAPL,3.08.2023,Negative,Negative,Negative,Negative,Negative,193.2200012,195.8300018,196.4499969,Negative
100,22.05.2023 08:57,monday briefing take reverse damage done rainforest jair bolsonaro,Amazon,AMZN,22.05.2023,Negative,Negative,Neutral,Negative,Neutral,111.1999969,113.4000015,115.5,Negative
101,30.07.2023 18:03,joy defiance gathering led amazonian chief raoni metuktire,Amazon,AMZN,30.07.2023,Positive,Negative,Neutral,Positive,Neutral,128.8000031,129.1300049,128.1499939,Neutral
102,14.02.2023 15:42,ikea foundation sends shelter syria turkey firm offer earthquake aid,Amazon,AMZN,14.02.2023,Positive,Positive,Neutral,Positive,Neutral,102.1100006,100.0500031,98.23999786,Positive
103,2.03.2023 10:00,theyre concerned profit osha doj take amazon grueling working condition,Amazon,AMZN,2.03.2023,Negative,Negative,Negative,Negative,Neutral,95.81999969,93.5,93.76000214,Negative
104,25.04.2023 02:01,major tech firm face hefty fine new digital consumer bill,Google,GOOG,24.04.2023,Positive,Positive,Positive,Negative,Negative,106.4199982,105.1200027,105.0199966,Positive
105,13.02.2023 11:00,desantiss corporate donor fire hypocrisy black history month,Tesla,TSLA,13.02.2023,Negative,Negative,Neutral,Negative,Neutral,194.7599945,196.8099976,201.2899933,Negative
106,12.04.2023 18:00,accc bos want new power crack online business make hard cancel subscription,Apple,AAPL,12.04.2023,Negative,Positive,Neutral,Negative,Neutral,163.7599945,164.6600037,162.0299988,Negative
107,6.01.2023 17:00,job cut falling share go wrong u tech sector,Tesla,TSLA,6.01.2023,Negative,Negative,Negative,Negative,Neutral,123.1800003,108.0999985,113.6399994,Negative
108,3.06.2023 20:00,youre looking die brazil river illegal fishing threatens life,Amazon,AMZN,3.06.2023,Negative,Negative,Neutral,Negative,Negative,121.6600037,120.5800018,122.7699966,Negative
109,21.04.2023 09:00,gold standard peru miner phase mercury bid clean industry,Amazon,AMZN,21.04.2023,Positive,Positive,Neutral,Positive,Neutral,102.5100021,102.7399979,102.3000031,Positive
110,18.07.2023 21:51,meta make new version ai model available free charge microsoft,Microsoft,MSFT,18.07.2023,Positive,Positive,Neutral,Positive,Neutral,332.4700012,337.2000122,342.6600037,Positive
111,29.01.2023 13:00,bezos washington post show honeymoon tech mogul medium owner,Amazon,AMZN,29.01.2023,Negative,Negative,Neutral,Negative,Neutral,97.51999664,96.31999969,97.18000031,Negative
112,3.07.2023 10:27,tesla delivers record number car price cut lift sale,Tesla,TSLA,3.07.2023,Positive,Negative,Positive,Negative,Positive,241.0500031,250.2100067,256.2399902,Positive
113,24.06.2023 10:00,streaming roald dahl matilda musical best adaptation classic childrens book,Amazon,AMZN,24.06.2023,Positive,Positive,Neutral,Positive,Neutral,125.7799988,124.8300018,130.1499939,Positive
114,13.07.2023 01:02,u uk call gratitude kyiv zelenskiys nato complaint,Tesla,TSLA,12.07.2023,Negative,Positive,Neutral,Positive,Neutral,282.480011,276.5400085,274.4299927,Neutral
115,13.04.2023 09:00,sonos era review sparkling wifi hi fi raise bar spatial audio,Tesla,TSLA,13.04.2023,Positive,Positive,Neutral,Positive,Neutral,185.0599976,184.5099945,186.7899933,Positive
116,27.07.2023 18:26,brazil descendant african escaped slavery gain census recognition,Amazon,AMZN,27.07.2023,Positive,Positive,Neutral,Negative,Positive,129.9600067,130,128.8000031,Positive
117,2.02.2023 09:00,meps launch site eu official report shady lobbying big tech,Tesla,TSLA,2.02.2023,Negative,Negative,Neutral,Negative,Neutral,160.2700043,177.8999939,166.6600037,Negative
118,5.06.2023 15:00,best tv far,Apple,AAPL,5.06.2023,Positive,Positive,Neutral,Positive,Neutral,177.3000031,177.25,180.0899963,Positive
119,1.06.2023 18:00,deadloch review ripsnorting whodunnit pump new blood old trope,Amazon,AMZN,1.06.2023,Negative,Positive,Neutral,Negative,Neutral,115,120.1100006,121.6600037,Negative
120,2.07.2023 13:00,sriracha lover feel heat hot sauce shortage continues,Tesla,TSLA,2.07.2023,Negative,Negative,Neutral,Negative,Negative,241.0500031,250.2100067,256.2399902,Negative
121,8.02.2023 10:00,cost loving valentine day idea wont break bank,Amazon,AMZN,8.02.2023,Positive,Positive,Neutral,Negative,Neutral,105.1500015,112.9100037,103.3899994,Neutral
122,29.03.2023 19:43,amazonian love god mockery god say wakefield christian,Amazon,AMZN,29.03.2023,Negative,Negative,Neutral,Positive,Neutral,98.69999695,98.70999908,98.12999725,Negative
123,2.05.2023 13:00,one true love review sassy love triangle romcom slathered life lesson,Amazon,AMZN,2.05.2023,Positive,Positive,Neutral,Negative,Neutral,102.5699997,104.9800034,109.8199997,Neutral
124,4.07.2023 13:00,calendar girl review portrait senior dance troupe grooving florida,Amazon,AMZN,4.07.2023,Negative,Negative,Neutral,Positive,Neutral,129.1799927,129.0399933,127.9000015,Negative
125,4.04.2023 18:22,uk status cinematic powerhouse risk warns oscar winner david puttnam,Amazon,AMZN,4.04.2023,Negative,Negative,Neutral,Negative,Neutral,97.23999786,100.25,102,Negative
126,20.01.2023 17:56,google parent firm alphabet cut job worldwide,Google,GOOG,20.01.2023,Negative,Negative,Negative,Negative,Neutral,92.80000305,92.16000366,91.77999878,Negative
127,20.07.2023 17:58,llama meta releasing open source ai model risk,Amazon,AMZN,20.07.2023,Negative,Positive,Neutral,Negative,Neutral,134.3000031,134.6799927,133.5599976,Negative
128,3.08.2023 17:48,ai enhanced image threat democratic process expert warn,Tesla,TSLA,3.08.2023,Negative,Positive,Positive,Negative,Positive,255.7100067,266.4400024,267.4299927,Positive
129,19.04.2023 07:40,google call relaxing australia copyright law ai mine website information,Google,GOOG,19.04.2023,Negative,Negative,Neutral,Negative,Neutral,105.2200012,108.1900024,109.4599991,Negative
130,21.04.2023 14:25,kelso group ups stake thg call spinoff nutrition business,Tesla,TSLA,21.04.2023,Positive,Positive,Neutral,Positive,Neutral,185,187.0399933,184.3099976,Positive
131,18.03.2023 11:00,streaming best film motherhood,Amazon,AMZN,18.03.2023,Positive,Positive,Neutral,Positive,Neutral,92.43000031,94.87999725,96.19999695,Positive
132,20.03.2023 10:00,apple homepod review siri speaker bass problem,Apple,AAPL,20.03.2023,Negative,Positive,Neutral,Negative,Neutral,150.4700012,152.5899963,152.9900055,Negative
133,28.07.2023 07:00,good omen series two david tennant michael sheen really double act since,Tesla,TSLA,28.07.2023,Positive,Positive,Neutral,Negative,Neutral,260.019989,269.0599976,265.2799988,Neutral
134,2.04.2023 11:30,week tv succession great expectation power wellmania review,Apple,AAPL,2.04.2023,Positive,Positive,Neutral,Positive,Positive,158.2799988,157.6499939,160.7700043,Positive
135,19.04.2023 14:42,eat unveils share buyback month cutting staff,Apple,AAPL,19.04.2023,Negative,Negative,Neutral,Negative,Neutral,160.1000061,165.5599976,165.2100067,Negative
136,4.07.2023 08:00,main u turn labour made keir starmer,Tesla,TSLA,4.07.2023,Positive,Positive,Neutral,Negative,Neutral,250.2100067,256.2399902,257.5,Neutral
137,12.04.2023 07:00,west try limit tiktoks reach china apps,Tesla,TSLA,12.04.2023,Negative,Positive,Neutral,Positive,Neutral,185.5200043,185.0599976,184.5099945,Neutral
138,19.07.2023 03:00,apple google face block taking cut app purchase australia,Apple,AAPL,19.07.2023,Negative,Negative,Neutral,Negative,Neutral,189.7700043,190.5399933,190.6900024,Negative
139,27.07.2023 13:13,warned climate emergency peter kalmus,Amazon,AMZN,27.07.2023,Negative,Negative,Neutral,Negative,Neutral,129.9600067,130,128.8000031,Negative
140,5.01.2023 01:52,death narrator apple unveils suite ai voiced audiobooks,Apple,AAPL,4.01.2023,Positive,Positive,Neutral,Negative,Neutral,126.0400009,129.6100006,129.9299927,Neutral
141,26.05.2023 19:45,tech stock surge wave interest ai drive tn rally,Tesla,TSLA,26.05.2023,Positive,Positive,Positive,Positive,Positive,180.1399994,188.8699951,185.7700043,Positive
142,16.07.2023 10:00,streaming best film atomic bomb,Amazon,AMZN,16.07.2023,Positive,Positive,Neutral,Positive,Neutral,127.1299973,128.7799988,130.8000031,Positive
143,29.07.2023 15:00,everything app elon musk want x wechat west,Microsoft,MSFT,29.07.2023,Positive,Positive,Neutral,Negative,Neutral,345.1099854,350.980011,337.769989,Neutral
144,6.03.2023 15:00,global craze collagen linked brazilian deforestation,Amazon,AMZN,6.03.2023,Positive,Negative,Neutral,Negative,Neutral,93.76000214,94.23000336,92.16999817,Negative
145,16.02.2023 21:44,sir jim ratcliffes manchester united bid would put debt club,Microsoft,MSFT,16.02.2023,Positive,Positive,Neutral,Positive,Neutral,263.6199951,263.1000061,271.3200073,Positive
146,16.02.2023 01:03,arsenal manchester city premier league happened,Tesla,TSLA,15.02.2023,Positive,Positive,Neutral,Positive,Neutral,201.2899933,207.3200073,196.8899994,Positive
147,10.01.2023 22:17,prince harrys autobiography spare uk fastest selling nonfiction book,Amazon,AMZN,10.01.2023,Negative,Positive,Neutral,Positive,Neutral,85.81999969,85.13999939,83.12000275,Neutral
148,12.03.2023 20:33,silicon valley bank important uk tech sector,Google,GOOG,12.03.2023,Positive,Positive,Neutral,Positive,Neutral,95.58000183,94.16999817,94.65000153,Positive
149,3.01.2023 14:51,techscape bn takeover work finally game microsoft,Microsoft,MSFT,3.01.2023,Positive,Positive,Neutral,Negative,Neutral,236.9600067,234.5299988,241.0099945,Neutral
