Column1;publisheddate;clean_text;Stock Name;symbol;Date;yusuf_bert;furkanU_bert;Sena_bert;model_3;before;now;after
38;7.07.2023 09:51;afternoon update robodebt report recommends prosecution another sydney shooting amazon deforestation drop;Amazon;AMZN;7.07.2023;Negative;Positive;Neutral;;1303600006;1302200012;1303800049
39;26.04.2023 08:15;amazon worker coventry request union recognition membership double;Amazon;AMZN;26.04.2023;Positive;Positive;Neutral;;1043000031;1038099976;1069599991
40;11.06.2023 18:22;going away amazon uk strike trio bullish gmb congress;Amazon;AMZN;11.06.2023;Positive;Negative;Neutral;;1253000031;1266100006;1212300034
41;28.04.2023 01:16;amazon beat expectation first quarter earnings share jump;Amazon;AMZN;27.04.2023;Positive;Positive;Positive;;1038099976;1069599991;1062099991
42;16.05.2023 12:00;noise pollution danger amazon warehouse upended sleepy new york neighborhood;Amazon;AMZN;16.05.2023;Negative;Positive;Neutral;;1066200027;1101900024;1121800003
43;2.06.2023 15:00;amazon tree felled six year meet beef demand;Amazon;AMZN;2.06.2023;Negative;Negative;Neutral;;1201100006;1216600037;1205800018
44;6.08.2023 14:00;look crisis amazon understand stake battling life mark ruffalo;Amazon;AMZN;6.08.2023;Negative;Negative;Neutral;;1336799927;1316900024;1282100067
45;16.04.2023 16:57;amazon worker coventry begin first two three day strike;Amazon;AMZN;16.04.2023;Negative;Negative;Neutral;;1021699982;9991999817;9783000183
46;26.05.2023 18:00;invoked shakespeare kates mclennan mccartney explaining australian swearing amazon;Amazon;AMZN;26.05.2023;Negative;Negative;Neutral;;11625;1150100021;1149899979
47;12.04.2023 11:44;hyundai urged stop illegal miner using machine amazon;Amazon;AMZN;12.04.2023;Positive;Positive;Negative;;1010999985;1020599976;1021699982
48;4.04.2023 09:00;alexa im dark amazon account disappeared;Amazon;AMZN;4.04.2023;Negative;Negative;Neutral;;9723999786;10025;102
49;3.04.2023 18:00;amazon web service invest bn expanding australian cloud computing;Amazon;AMZN;3.04.2023;Positive;Positive;Neutral;;9804000092;9723999786;10025
50;10.03.2023 19:32;record deforestation brazil amazon rainforest show challenge facing lula;Amazon;AMZN;10.03.2023;Positive;Positive;Positive;;9490000153;9375;9355000305
51;1.06.2023 15:00;brazilian amazon risk taken mafia ex police chief warns;Amazon;AMZN;1.06.2023;Negative;Negative;Neutral;;115;1201100006;1216600037
52;17.06.2023 23:00;western arrogance wellness movement co opted amazon frog toxin deadly effect;Amazon;AMZN;17.06.2023;Positive;Negative;Neutral;;1265699997;1266600037;1264199982
53;23.03.2023 19:05;u amazon driver delivers package police standoff viral video show;Amazon;AMZN;23.03.2023;Negative;Negative;Neutral;;1000400009;9894999695;9770999908
54;3.02.2023 01:50;apple post first revenue drop four year;Apple;AAPL;2.02.2023;Negative;Negative;Negative;;1439600067;1459299927;143
55;20.03.2023 21:27;amazon cut another job new round layoff;Amazon;AMZN;20.03.2023;Negative;Negative;Negative;;9243000031;9487999725;9619999695
56;29.04.2023 09:00;many bridge amazon river try kid quiz;Amazon;AMZN;29.04.2023;Positive;Negative;Neutral;;1062099991;1025699997;1049800034
57;1.01.2023 03:01;whats netflix amazon month january;Amazon;AMZN;1.01.2023;Negative;Positive;Neutral;;8304000092;8181999969;8418000031
58;22.01.2023 20:14;jair bolsonaro accused act genocide amazonian group;Amazon;AMZN;22.01.2023;Negative;Negative;Neutral;;9605000305;9545999908;9368000031
59;5.04.2023 10:40;amazon microsoft face referral uk regulator cloud service market;Amazon;AMZN;5.04.2023;Negative;Positive;Neutral;;10025;102;1032900009
60;15.02.2023 00:47;amazon deploys fleet self driving robotaxis california street;Amazon;AMZN;14.02.2023;Positive;Positive;Neutral;;1021100006;1000500031;9823999786
61;4.06.2023 15:00;forest know amazon village message world photo essay;Amazon;AMZN;4.06.2023;Positive;Positive;Neutral;;1216600037;1205800018;1227699966
62;16.06.2023 13:00;force life indigenous wisdom helped rescue child lost amazon;Amazon;AMZN;16.06.2023;Positive;Positive;Neutral;;1234300003;1265699997;1266600037
63;8.04.2023 11:00;war attrition union victory u worker amazon stalled;Amazon;AMZN;8.04.2023;Negative;Negative;Positive;;1024100037;1039499969;1010999985
64;19.02.2023 13:30;cattle coca drive deforestation amazon colombia report;Amazon;AMZN;19.02.2023;Negative;Negative;Neutral;;9954000092;9969999695;1011600037
65;20.05.2023 15:00;thousand amazon staffer pouring seattle office restore downtown fortune;Amazon;AMZN;20.05.2023;Positive;Positive;Neutral;;1111999969;1134000015;1155
66;7.05.2023 11:02;amazon tesco join coalition compassion know welfare state failing gordon brown;Amazon;AMZN;7.05.2023;Negative;Positive;Neutral;;1020500031;1036299973;1036500015
67;28.03.2023 02:45;amazon warehouse parking lot play queer ageing capitalism win prize;Amazon;AMZN;27.03.2023;Positive;Positive;Neutral;;9770999908;1006100006;9869999695
68;13.02.2023 18:41;amazon worker coventry go strike seven day;Amazon;AMZN;13.02.2023;Negative;Negative;Negative;;1021800003;1021100006;1000500031
69;22.03.2023 16:48;amazon uk staff plan strike reject pay rise insult;Amazon;AMZN;22.03.2023;Negative;Negative;Negative;;9619999695;1000400009;9894999695
70;27.02.2023 08:00;dom phillips widow follow raising awareness crisis amazon;Amazon;AMZN;27.02.2023;Negative;Positive;Neutral;;9458000183;9579000092;9581999969
71;19.03.2023 17:00;fake eyelash remover used party drug delisted amazon sydney worldpride ban;Amazon;AMZN;19.03.2023;Negative;Negative;Neutral;;9243000031;9487999725;9619999695
72;10.01.2023 21:53;amazon shut three uk warehouse putting job risk;Amazon;AMZN;10.01.2023;Negative;Negative;Neutral;;8581999969;8513999939;8312000275
73;26.02.2023 12:00;amazon union leader fly help uk striker kick door;Amazon;AMZN;26.02.2023;Positive;Positive;Neutral;;9458000183;9579000092;9581999969
74;9.01.2023 11:00;lack respect outcry amazon employee death warehouse floor;Amazon;AMZN;9.01.2023;Negative;Negative;Neutral;;8581999969;8513999939;8312000275
75;5.06.2023 08:00;jump child death reveals impact industrialisation amazon indigenous people;Amazon;AMZN;5.06.2023;Negative;Negative;Negative;;1216600037;1205800018;1227699966
76;27.01.2023 16:13;brazil asleep rain come hope reawakens amazon;Amazon;AMZN;27.01.2023;Negative;Positive;Neutral;;9725;9751999664;9631999969
77;26.01.2023 22:24;human activity drought degrading third amazon rainforest;Amazon;AMZN;26.01.2023;Negative;Positive;Positive;;9368000031;9725;9751999664
78;25.01.2023 20:54;first uk industrial action amazon making impact say gmb;Amazon;AMZN;25.01.2023;Positive;Positive;Neutral;;9545999908;9368000031;9725
79;6.04.2023 17:32;cma investigate amazon bn takeover roomba firm;Amazon;AMZN;6.04.2023;Positive;Negative;Neutral;;102;1032900009;1024100037
80;19.03.2023 23:16;morning mail amazon act party drug loophole credit suisse takeover deal perrottet talk poky;Amazon;AMZN;19.03.2023;Negative;Negative;Neutral;;9243000031;9487999725;9619999695
81;5.01.2023 16:07;amazon axe worker u tech firm cut job;Amazon;AMZN;5.01.2023;Negative;Negative;Neutral;;8418000031;84;8581999969
82;25.01.2023 18:26;amazon play impact first strike uk worker happened;Amazon;AMZN;25.01.2023;Negative;Negative;Negative;;9545999908;9368000031;9725
83;21.07.2023 22:43;top tech firm commit ai safeguard amid fear pace change;Apple;AAPL;21.07.2023;Negative;Positive;Neutral;;1906900024;1939900055;1937299957
84;22.01.2023 03:05;first industrial action amazon uk hope strike firm union hostility;Amazon;AMZN;22.01.2023;Negative;Negative;Neutral;;9605000305;9545999908;9368000031
85;1.06.2023 02:01;amazon main uk division pay corporation tax second year row;Amazon;AMZN;31.05.2023;Negative;Positive;Neutral;;11675;115;1201100006
86;29.07.2023 13:00;like robot thing make u human ground inside story strike amazon;Amazon;AMZN;29.07.2023;Positive;Negative;Neutral;;1288000031;1291300049;1281499939
87;21.01.2023 10:00;carbon pirate preying amazon indigenous community;Amazon;AMZN;21.01.2023;Negative;Negative;Neutral;;9605000305;9545999908;9368000031
88;9.03.2023 10:16;amazon daisy jones six missing star quality;Amazon;AMZN;9.03.2023;Negative;Negative;Neutral;;9212999725;9490000153;9375
89;3.01.2023 17:00;lula save amazon record show might pull andre pagliarini;Amazon;AMZN;3.01.2023;Negative;Negative;Negative;;8304000092;8181999969;8418000031
90;1.06.2023 15:00;bruno pereira dom phllips killed amazon indigenous ally risk death carry work;Amazon;AMZN;1.06.2023;Negative;Negative;Negative;;115;1201100006;1216600037
91;9.01.2023 20:46;prince harrys memoir hit amazon predicted one year bestseller;Amazon;AMZN;9.01.2023;Positive;Positive;Neutral;;8581999969;8513999939;8312000275
92;2.07.2023 09:00;big picture celebration life peruvian rainforest;Amazon;AMZN;2.07.2023;Positive;Positive;Neutral;;1273300018;1291799927;1290399933
93;6.06.2023 00:30;tribute paid dom phillips bruno pereira year death;Tesla;TSLA;5.06.2023;Negative;Positive;Neutral;;2011600037;2039299927;2075200043
94;4.06.2023 12:30;event brazil uk celebrate life dom phillips bruno pereira;Microsoft;MSFT;4.06.2023;Positive;Positive;Neutral;;3312099915;3283900146;3325799866
95;20.05.2023 00:19;ex chief brazil indigenous agency charged murder bruno pereira dom phillips;Microsoft;MSFT;19.05.2023;Negative;Negative;Negative;;3089700012;3094599915;3117399902
96;2.06.2023 08:56;friday briefing year murder vital work bruno pereira dom phillips carry;Microsoft;MSFT;2.06.2023;Negative;Positive;Neutral;;3328900146;3312099915;3283900146
97;5.06.2023 20:32;guardian view bruno doms legacy defend nature defender editorial;Microsoft;MSFT;5.06.2023;Positive;Positive;Neutral;;3312099915;3283900146;3325799866
98;1.06.2023 15:00;one year death bruno pereira dom phillips work must go;Microsoft;MSFT;1.06.2023;Negative;Negative;Neutral;;3259200134;3328900146;3312099915
99;4.08.2023 00:39;apple revenue fall third straight quarter company invests heavily ai;Apple;AAPL;3.08.2023;Negative;Negative;Negative;;1932200012;1958300018;1964499969
100;22.05.2023 08:57;monday briefing take reverse damage done rainforest jair bolsonaro;Amazon;AMZN;22.05.2023;Negative;Negative;Neutral;;1111999969;1134000015;1155
101;30.07.2023 18:03;joy defiance gathering led amazonian chief raoni metuktire;Amazon;AMZN;30.07.2023;Positive;Negative;Neutral;;1288000031;1291300049;1281499939
102;14.02.2023 15:42;ikea foundation sends shelter syria turkey firm offer earthquake aid;Amazon;AMZN;14.02.2023;Positive;Positive;Neutral;;1021100006;1000500031;9823999786
103;2.03.2023 10:00;theyre concerned profit osha doj take amazon grueling working condition;Amazon;AMZN;2.03.2023;Negative;Negative;Negative;;9581999969;935;9376000214
104;25.04.2023 02:01;major tech firm face hefty fine new digital consumer bill;Google;GOOG;24.04.2023;Positive;Positive;Positive;;1064199982;1051200027;1050199966
105;13.02.2023 11:00;desantiss corporate donor fire hypocrisy black history month;Tesla;TSLA;13.02.2023;Negative;Negative;Neutral;;1947599945;1968099976;2012899933
106;12.04.2023 18:00;accc bos want new power crack online business make hard cancel subscription;Apple;AAPL;12.04.2023;Negative;Positive;Neutral;;1637599945;1646600037;1620299988
107;6.01.2023 17:00;job cut falling share go wrong u tech sector;Tesla;TSLA;6.01.2023;Negative;Negative;Negative;;1231800003;1080999985;1136399994
108;3.06.2023 20:00;youre looking die brazil river illegal fishing threatens life;Amazon;AMZN;3.06.2023;Negative;Negative;Neutral;;1216600037;1205800018;1227699966
109;21.04.2023 09:00;gold standard peru miner phase mercury bid clean industry;Amazon;AMZN;21.04.2023;Positive;Positive;Neutral;;1025100021;1027399979;1023000031
110;18.07.2023 21:51;meta make new version ai model available free charge microsoft;Microsoft;MSFT;18.07.2023;Positive;Positive;Neutral;;3324700012;3372000122;3426600037
111;29.01.2023 13:00;bezos washington post show honeymoon tech mogul medium owner;Amazon;AMZN;29.01.2023;Negative;Negative;Neutral;;9751999664;9631999969;9718000031
112;3.07.2023 10:27;tesla delivers record number car price cut lift sale;Tesla;TSLA;3.07.2023;Positive;Negative;Positive;;2410500031;2502100067;2562399902
113;24.06.2023 10:00;streaming roald dahl matilda musical best adaptation classic childrens book;Amazon;AMZN;24.06.2023;Positive;Positive;Neutral;;1257799988;1248300018;1301499939
114;13.07.2023 01:02;u uk call gratitude kyiv zelenskiys nato complaint;Tesla;TSLA;12.07.2023;Negative;Positive;Neutral;;282480011;2765400085;2744299927
115;13.04.2023 09:00;sonos era review sparkling wifi hi fi raise bar spatial audio;Tesla;TSLA;13.04.2023;Positive;Positive;Neutral;;1850599976;1845099945;1867899933
116;27.07.2023 18:26;brazil descendant african escaped slavery gain census recognition;Amazon;AMZN;27.07.2023;Positive;Positive;Neutral;;1299600067;130;1288000031
117;2.02.2023 09:00;meps launch site eu official report shady lobbying big tech;Tesla;TSLA;2.02.2023;Negative;Negative;Neutral;;1602700043;1778999939;1666600037
118;5.06.2023 15:00;best tv far;Apple;AAPL;5.06.2023;Positive;Positive;Neutral;;1773000031;17725;1800899963
119;1.06.2023 18:00;deadloch review ripsnorting whodunnit pump new blood old trope;Amazon;AMZN;1.06.2023;Negative;Positive;Neutral;;115;1201100006;1216600037
120;2.07.2023 13:00;sriracha lover feel heat hot sauce shortage continues;Tesla;TSLA;2.07.2023;Negative;Negative;Neutral;;2410500031;2502100067;2562399902
121;8.02.2023 10:00;cost loving valentine day idea wont break bank;Amazon;AMZN;8.02.2023;Positive;Positive;Neutral;;1051500015;1129100037;1033899994
122;29.03.2023 19:43;amazonian love god mockery god say wakefield christian;Amazon;AMZN;29.03.2023;Negative;Negative;Neutral;;9869999695;9870999908;9812999725
123;2.05.2023 13:00;one true love review sassy love triangle romcom slathered life lesson;Amazon;AMZN;2.05.2023;Positive;Positive;Neutral;;1025699997;1049800034;1098199997
124;4.07.2023 13:00;calendar girl review portrait senior dance troupe grooving florida;Amazon;AMZN;4.07.2023;Negative;Negative;Neutral;;1291799927;1290399933;1279000015
125;4.04.2023 18:22;uk status cinematic powerhouse risk warns oscar winner david puttnam;Amazon;AMZN;4.04.2023;Negative;Negative;Neutral;;9723999786;10025;102
126;20.01.2023 17:56;google parent firm alphabet cut job worldwide;Google;GOOG;20.01.2023;Negative;Negative;Negative;;9280000305;9216000366;9177999878
127;20.07.2023 17:58;llama meta releasing open source ai model risk;Amazon;AMZN;20.07.2023;Negative;Positive;Neutral;;1343000031;1346799927;1335599976
128;3.08.2023 17:48;ai enhanced image threat democratic process expert warn;Tesla;TSLA;3.08.2023;Negative;Positive;Positive;;2557100067;2664400024;2674299927
129;19.04.2023 07:40;google call relaxing australia copyright law ai mine website information;Google;GOOG;19.04.2023;Negative;Negative;Neutral;;1052200012;1081900024;1094599991
130;21.04.2023 14:25;kelso group ups stake thg call spinoff nutrition business;Tesla;TSLA;21.04.2023;Positive;Positive;Neutral;;185;1870399933;1843099976
131;18.03.2023 11:00;streaming best film motherhood;Amazon;AMZN;18.03.2023;Positive;Positive;Neutral;;9243000031;9487999725;9619999695
132;20.03.2023 10:00;apple homepod review siri speaker bass problem;Apple;AAPL;20.03.2023;Negative;Positive;Neutral;;1504700012;1525899963;1529900055
133;28.07.2023 07:00;good omen series two david tennant michael sheen really double act since;Tesla;TSLA;28.07.2023;Positive;Positive;Neutral;;260019989;2690599976;2652799988
134;2.04.2023 11:30;week tv succession great expectation power wellmania review;Apple;AAPL;2.04.2023;Positive;Positive;Neutral;;1582799988;1576499939;1607700043
135;19.04.2023 14:42;eat unveils share buyback month cutting staff;Apple;AAPL;19.04.2023;Negative;Negative;Neutral;;1601000061;1655599976;1652100067
136;4.07.2023 08:00;main u turn labour made keir starmer;Tesla;TSLA;4.07.2023;Positive;Positive;Neutral;;2502100067;2562399902;2575
137;12.04.2023 07:00;west try limit tiktoks reach china apps;Tesla;TSLA;12.04.2023;Negative;Positive;Neutral;;1855200043;1850599976;1845099945
138;19.07.2023 03:00;apple google face block taking cut app purchase australia;Apple;AAPL;19.07.2023;Negative;Negative;Neutral;;1897700043;1905399933;1906900024
139;27.07.2023 13:13;warned climate emergency peter kalmus;Amazon;AMZN;27.07.2023;Negative;Negative;Neutral;;1299600067;130;1288000031
140;5.01.2023 01:52;death narrator apple unveils suite ai voiced audiobooks;Apple;AAPL;4.01.2023;Positive;Positive;Neutral;;1260400009;1296100006;1299299927
141;26.05.2023 19:45;tech stock surge wave interest ai drive tn rally;Tesla;TSLA;26.05.2023;Positive;Positive;Positive;;1801399994;1888699951;1857700043
142;16.07.2023 10:00;streaming best film atomic bomb;Amazon;AMZN;16.07.2023;Positive;Positive;Neutral;;1271299973;1287799988;1308000031
143;29.07.2023 15:00;everything app elon musk want x wechat west;Microsoft;MSFT;29.07.2023;Positive;Positive;Neutral;;3451099854;350980011;337769989
144;6.03.2023 15:00;global craze collagen linked brazilian deforestation;Amazon;AMZN;6.03.2023;Positive;Negative;Neutral;;9376000214;9423000336;9216999817
145;16.02.2023 21:44;sir jim ratcliffes manchester united bid would put debt club;Microsoft;MSFT;16.02.2023;Positive;Positive;Neutral;;2636199951;2631000061;2713200073
146;16.02.2023 01:03;arsenal manchester city premier league happened;Tesla;TSLA;15.02.2023;Positive;Positive;Neutral;;2012899933;2073200073;1968899994
147;10.01.2023 22:17;prince harrys autobiography spare uk fastest selling nonfiction book;Amazon;AMZN;10.01.2023;Negative;Positive;Neutral;;8581999969;8513999939;8312000275
148;12.03.2023 20:33;silicon valley bank important uk tech sector;Google;GOOG;12.03.2023;Positive;Positive;Neutral;;9558000183;9416999817;9465000153
149;3.01.2023 14:51;techscape bn takeover work finally game microsoft;Microsoft;MSFT;3.01.2023;Positive;Positive;Neutral;;2369600067;2345299988;2410099945
150;29.03.2023 15:36;elon musk join call pause creation giant ai digital mind;Apple;AAPL;29.03.2023;Positive;Positive;Neutral;;1578300018;1589299927;16025
151;28.06.2023 05:59;life prioritised adelaide become home want think big live well;Amazon;AMZN;28.06.2023;Positive;Positive;Neutral;;1248300018;1301499939;1293300018
152;27.07.2023 09:00;beat studio pro review apple new top headphone love android;Apple;AAPL;27.07.2023;Positive;Positive;Neutral;;1931300049;1919400024;19275
153;9.04.2023 12:00;look good situation power toheeb jimoh;Tesla;TSLA;9.04.2023;Positive;Positive;Neutral;;1947700043;1925800018;1855200043
154;22.04.2023 10:00;streaming best holiday romance film;Amazon;AMZN;22.04.2023;Positive;Positive;Neutral;;1027399979;1023000031;1043000031
155;19.04.2023 09:05;judy blume forever review inspiring portrait fearless author;Amazon;AMZN;19.04.2023;Positive;Positive;Positive;;9783000183;1024000015;1025100021
156;8.01.2023 20:29;great era going movie dying say sam mendes;Microsoft;MSFT;8.01.2023;Negative;Positive;Neutral;;2395800018;2291000061;2223099976
157;3.06.2023 16:00;buff billionaire latest sign bulk beautiful male body image arwa mahdawi;Tesla;TSLA;3.06.2023;Positive;Positive;Neutral;;2011600037;2039299927;2075200043
158;8.08.2023 16:00;get top tiktok shopping went social hooked new generation;Tesla;TSLA;8.08.2023;Positive;Positive;Neutral;;2610700073;2541100006;2593200073
159;3.08.2023 09:00;ai google ups ante free uk training course firm;Google;GOOG;3.08.2023;Positive;Positive;Neutral;;1298699951;1330099945;1331100006
160;31.05.2023 14:06;top book connecting nature;Amazon;AMZN;31.05.2023;Positive;Positive;Neutral;;11675;115;1201100006
161;6.05.2023 10:00;streaming best winner cannes palme dor;Amazon;AMZN;6.05.2023;Positive;Positive;Neutral;;1020500031;1036299973;1036500015
162;24.02.2023 16:26;roald dahl publisher announces unaltered book classic collection;Tesla;TSLA;24.02.2023;Negative;Negative;Neutral;;2083099976;1973699951;2008600006
163;20.06.2023 10:00;pixel tablet review google android slate smart display rolled one;Google;GOOG;20.06.2023;Positive;Positive;Neutral;;1244300003;1243799973;1257900009
164;30.04.2023 09:00;wager review david granns magnificent shipwreck epic;Amazon;AMZN;30.04.2023;Positive;Positive;Neutral;;1062099991;1025699997;1049800034
165;12.02.2023 23:00;dinosaur stephen fry review enchanting jurassic park;Amazon;AMZN;12.02.2023;Positive;Positive;Neutral;;1021800003;1021100006;1000500031
166;16.02.2023 19:53;five factor explain ftse record high despite recession;Tesla;TSLA;16.02.2023;Positive;Positive;Positive;;2073200073;1968899994;1946399994
167;1.04.2023 10:00;streaming babylon best film hollywood;Tesla;TSLA;1.04.2023;Positive;Positive;Neutral;;1918099976;1891900024;1938800049
168;11.05.2023 18:00;remember exact word markus zusak messenger review hell never forget;Microsoft;MSFT;11.05.2023;Negative;Negative;Neutral;;3054100037;3106499939;3086499939
169;4.01.2023 21:20;tesla stock plunged le ludicrous level competitor catch nil pratley;Tesla;TSLA;4.01.2023;Negative;Negative;Positive;;1127099991;1218199997;1231800003
170;11.03.2023 11:00;streaming best michelle yeoh film;Amazon;AMZN;11.03.2023;Positive;Positive;Neutral;;9375;9355000305;9391999817
171;29.04.2023 13:00;suede mat osman biggest difference richard interest cool;Microsoft;MSFT;29.04.2023;Positive;Positive;Neutral;;281769989;2754200134;2953699951
172;18.02.2023 11:00;??streaming watch best bafta contender;Tesla;TSLA;18.02.2023;Positive;Positive;Neutral;;1946399994;20925;2142400055
173;1.07.2023 08:00;indiana jones wham complete guide week entertainment;Amazon;AMZN;1.07.2023;Positive;Positive;Neutral;;1273300018;1291799927;1290399933
174;17.06.2023 17:05;daniel ellsberg one history consequential figure trevor timm;Amazon;AMZN;17.06.2023;Negative;Negative;Neutral;;1265699997;1266600037;1264199982
175;3.02.2023 21:01;ftse hit time high u job report beat forecast happened;Tesla;TSLA;3.02.2023;Positive;Positive;Neutral;;1778999939;1666600037;1732200012
176;27.01.2023 14:00;google let daily wire advertise climate change hoax search;Google;GOOG;27.01.2023;Negative;Negative;Neutral;;9927999878;1012099991;9920999908
177;5.04.2023 18:06;love playing as james marsden cyclops sonic new ultimate prank show;Amazon;AMZN;5.04.2023;Positive;Positive;Neutral;;10025;102;1032900009
178;11.02.2023 15:00;tegan sara look back terrible haircut self belief;Tesla;TSLA;11.02.2023;Negative;Positive;Neutral;;1947599945;1968099976;2012899933
179;29.05.2023 16:51;encore surefire show returning edinburgh festival;Tesla;TSLA;29.05.2023;Positive;Positive;Neutral;;1888699951;1857700043;1828999939
